id,adhesive_code,additives,monomers,properties
1,080,{'EAc': 80.0},"{'BA': 68.0, 'BMA': 30.0, 'AA': 2.0}","{'N.V': 27.6, 'VIS': 2800.0, '점착력': 170.0, '내충격BA': 2.0, '내충격#4': 4.0}"
2,801,"{'Eac(LAB)': 130.0, 'EAc': 150.0}","{'2-EHA': 68.0, 'MMA': 2.0, 'MA': 5.0, 'VAc': 20.0, 'AA': 5.0}","{'N.V': 30.22, 'VIS': 2300.0, '점착력': 180.0}"
3,802,"{'Eac(LAB)': 150.0, 'EAc': 170.0}","{'BA': 74.0, 'IBOA': 25.0, 'AA': 1.0}","{'N.V': 26.26, 'VIS': 2340.0, '점착력': 160.0, '내충격#4': 3.0}"
4,803,{'EAc': 130.0},"{'BA': 66.7, 'MMA': 5.0, 'IBOA': 23.0, '4-HBA': 5.0, 'AA': 0.3}","{'N.V': 26.55, 'VIS': 2800.0, '점착력': 200.0, '내충격#4': 2.0}"
5,804,{'EAc': 150.0},"{'BA': 56.0, 'LMA': 25.0, 'IBOA': 6.0, '4-HBA': 10.0, 'AA': 4.0}","{'N.V': 27.3, 'VIS': 3000.0}"
6,805,{'EAc': 140.0},"{'2-EHA': 64.0, 'MMA': 2.0, 'EAM': 30.0, 'AA': 4.0}","{'N.V': 27.7, 'VIS': 2500.0}"
7,806,{'EAc': 100.0},"{'BA': 68.0, 'MMA': 30.0, 'AA': 2.0}","{'N.V': 29.7, 'VIS': 2200.0, '점착력': 80.0, '내충격#4': 1.0}"
8,807,{'EAc': 80.0},"{'2-EHA': 65.0, 'MMA': 15.0, 'EAM': 18.0, 'AA': 2.0}","{'N.V': 27.95, 'VIS': 2300.0, '점착력': 190.0, '내충격BA': 3.0, '내충격#4': 6.0}"
9,808,{'EAc': 130.0},"{'BA': 67.0, 'MMA': 5.0, 'IBOA': 23.0, '2-HEA': 5.0}","{'N.V': 27.3, 'VIS': 2000.0}"
10,800A,{'EAc': 140.0},"{'2-EHA': 79.0, 'MMA': 2.0, 'MA': 15.0, 'AA': 4.0}","{'N.V': 26.07, 'VIS': 3500.0, '점착력': 250.0}"
11,700P,{'EAc': 100.0},"{'BA': 52.5, '2-EHA': 17.5, 'MMA': 10.0, 'MA': 15.0, 'AA': 5.0}","{'N.V': 27.95, 'VIS': 11000.0}"
12,700H,{'EAc': 100.0},"{'BA': 52.5, '2-EHA': 17.5, 'MMA': 10.0, 'MA': 15.0, '2-HEA': 5.0}","{'N.V': 27.27, 'VIS': 4800.0}"
13,700A,{'EAc': 120.0},"{'BA': 52.7, '2-EHA': 16.5, 'MMA': 10.0, 'MA': 15.0, '2-HEA': 5.0, 'AA': 0.8}","{'N.V': 28.5, 'VIS': 2700.0}"
14,702,{'EAc': 80.0},"{'BA': 69.7, 'MMA': 23.0, 'MA': 2.0, '2-HEA': 5.0, 'AA': 0.3}","{'N.V': 28.36, 'VIS': 1810.0}"
15,703,{'EAc': 110.0},"{'BA': 51.1, '2-EHA': 16.5, 'MMA': 10.0, 'MA': 15.0, '2-HEA': 5.0, 'AA': 2.4}","{'N.V': 27.0, 'VIS': 2520.0}"
16,704,{'EAc': 100.0},"{'BA': 67.0, 'MMA': 23.0, 'MA': 2.0, '2-HEA': 5.0, 'AA': 3.0}","{'N.V': 27.51, 'VIS': 2000.0}"
17,603,{},"{'BA': 66.0, 'IBOA': 10.0, '2-HEMA': 1.0, 'AA': 23.0}","{'Tg': 2.96, '점착력': 120.0, '내충격BA': 1.0, '내충격#4': 2.0}"
18,606,{},"{'BA': 64.0, 'CHMA': 15.0, '2-HEMA': 1.0, 'AA': 20.0}","{'Tg': 3.46, '점착력': 115.0, '내충격BA': 4.0, '내충격#4': 5.0}"
19,607,{},"{'BA': 84.0, 'EMA': 5.0, '2-HEMA': 1.0, 'AA': 10.0}",{}
20,904,{},"{'BA': 89.7, 'MMA': 9.0, 'AA': 1.3}",{}
21,906,{},"{'BA': 78.7, 'CHMA': 20.0, 'AA': 1.3}",{}
22,907,{},"{'BA': 86.0, 'VAc': 9.0, 'b-CEA': 5.0}",{}
