Lab 일련번호,분류,도포 날짜,원단,점착제,경화제,첨가제,도포량,작업자,점착력,가열압착,내열성,내후성,내습성,야외폭로,가공/유지력,절곡,레이저컷팅,내충격성,비고,도포두께_um,바코터번호
1567.0,장기물성개선용(910E/HDDA적용검토)1566+CX100/1%+SV02/0.7%,2025-4-16 0:00:00,(T45),S250415G,(CX100/1%)(SV02/0.7%),(SA3/0.2%),(2.7)(#3),노항우,"(51,55)*(초/90/BA)",(73>205)*(가/90/BA),,,,,0,0,0,0,,2.7,3.0
1566.0,장기물성개선용(910E/HDDA적용검토)910+HDDA 0.25%,2025-4-16 0:00:00,(T45),S250415G,(CX100/2%)(SV02/1.5%),(SA3/0.2%),(2.7)(#3),노항우,"(32,37)*(초/90/BA)","(38,50>158,175)*(가/90/BA)",,(7일양호)*(BA),,,0,0,0,0,,2.7,3.0
1565.0,장기물성개선용(910E/HDDA적용검토)910 Lab 합성,2025-4-16 0:00:00,(T45),S250415F,(CX100/2%)(SV02/1.5%),(SA3/0.2%),(2.7)(#3),노항우,"(37,33,45,48,49,59)*(초/90/BA)","(48,58,56>194,190,163)*(가/90/BA)",,(7일양호)*(BA),,,0,0,0,0,,2.7,3.0
1564.0,원자재 검수건(SV02원재료변경건)1562+SV02_SampleC,2025-4-15 0:00:00,(T45),910,(CX100/2%)(SV02_C/1.5%),(SA3/0.2%),(2.7)(#3),"노항우,박다영","(50,49,42,60/90,100)*(초/90/BA/항0,2주)","(56/>138/150)*(가/90/BA/항0,2주)","(양호/양호)*(80도3시간,60도하루/BA)",(7일양호)*(BA),(14일양호)*(BA),(56일탈리)*(BA),1,0,0,0,,2.7,3.0
1563.0,원자재 검수건(SV02원재료변경건)1562+SV02_SampleB,2025-4-15 0:00:00,(T45),910,(CX100/2%)(SV02_B/1.5%),(SA3/0.2%),(2.7)(#3),"노항우,박다영","(55,51,37,43/95,100)*(초/90/BA/항0,2주)","(53/>125/154)*(가/90/BA/항0,2주)","(양호/양호)*(80도3시간,60도하루/BA)",(7일양호)*(BA),(14일양호)*(BA),(56일탈리)*(BA),1,0,0,0,,2.7,3.0
1562.0,원자재 검수건(SV02원재료변경건)910E+SV02_SampleA[기존],2025-4-15 0:00:00,(T45),910,(CX100/2%)(SV02/1.5%),(SA3/0.2%),(2.7)(#3),"노항우,박다영","(53,45,33,36/87,75)*(초/90/BA/항0,2주)","(49/>130/144)*(가/90/BA/항0,2주)","(양호/양호)*(80도3시간,60도하루/BA)",(7일양호)*(BA),(14일양호)*(BA),(56일탈리)*(BA),1,0,0,0,,2.7,3.0
1561.0,건축내외장재용(태국알루미늄프로파일용)1558+SV02/0.5%,2025-4-14 0:00:00,(BW48),917,(CX100/0.7%)(SV02/0.5%),,(2.7)(#8),박다영,"(305,307)*(초/90/BA)",,,,,,1,0,0,0,,2.7,8.0
1560.0,건축내외장재용(태국알루미늄프로파일용)1558+SV02/0.2%,2025-4-14 0:00:00,(BW48),917,(CX100/0.7%)(SV02/0.2%),,(2.7)(#8),박다영,"(297,288)*(초/90/BA)",(>535_탈리)*(가/90/BA),"(탈리/탈리)*(60도하루/BA,AL프로파일)",,,,1,0,0,0,,2.7,8.0
1559.0,건축내외장재용(태국알루미늄프로파일용)1312+BW48,2025-4-14 0:00:00,(BW48),917,(CX100/1%),,(2.7)(#8),박다영,"(246,251)*(초/90/BA)",,,,,,1,0,0,0,,2.7,8.0
1558.0,건축내외장재용(태국알루미늄프로파일용)1311+BW48,2025-4-14 0:00:00,(BW48),917,(CX100/0.7%),,(2.7)(#8),박다영,"(314,302)*(초/90/BA)",(>530_탈리)*(가/90/BA),"(탈리/탈리)*(60도하루/BA,AL프로파일)",,,,1,0,0,0,,2.7,8.0
1557.0,장기물성개선용(반응성유화제혼용실험)1465+130도1분건조,2025-4-14 0:00:00,(G75),911,(CX100/0.8%),(TSR5903/5%),(1.2)(#12),노항우,"(322,331/459,452)*(초/90/BA/항0,1주)","(297/478>527/858_탈리)*(가/90/BA/항0,1주)",,,,,0,0,0,0,,1.2,12.0
1556.0,"가공용(SGO164D대체)1520+1,3-Cyclohexanebis(methylamine)/2%",2025-4-14 0:00:00,(T58),S250402G,"(1,3-CHB(MA)/2%)",,(2)(#8),박다영,"(395,434/352,352/307,340)*(초/90/BA/숙성1,2,3일차)",(100>320)*(가:80도1일/180/DCM4144/숙성3일차),,,,,0,0,0,0,,2.0,8.0
1555.0,가공용(SGO164D대체)1520+m-Xylylenediamine/2%,2025-4-14 0:00:00,(T58),S250402G,(m-XDA/2%),,(2)(#8),박다영,"(385,402,457,450,438,435/323,344,400,358,380,364/340,345,388,371,351,357/331,319,330,344)*(초/90/BA/숙성1,2,3,4일차)",(70>250)*(가:80도1일/180/DCM4144/숙성3일차),,,,,0,0,0,0,,2.0,8.0
1554.0,가공용(SGO164D대체)1520+KH-819/2% (아민계경화제),2025-4-14 0:00:00,(T58),S250402G,(KH-819/2%),,(2)(#8),박다영,"(298,284/229,204/227,250)*(초/90/BA/숙성1,2,3일차)+(140)*(초/180/DCM4144)",,,,,,0,0,0,0,석출발생,2.0,8.0
1553.0,가공용(SGO164D대체)1520+KH-816/2% (아민계경화제),2025-4-14 0:00:00,(T58),S250402G,(KH-816/2%),,(2)(#8),박다영,"(378,374/348,319/325,354)*(초/90/BA/숙성1,2,3일차)+(40)*(초/180/DCM4144)",,,,,,0,0,0,0,석출발생,2.0,8.0
